,Actual Aggregated
2020-01-01 00:00:00+01:00,70723.0
2020-01-01 01:00:00+01:00,69355.5
2020-01-01 02:00:00+01:00,66586.5
2020-01-01 03:00:00+01:00,64221.5
2020-01-01 04:00:00+01:00,61992.5
2020-01-01 05:00:00+01:00,61067.0
2020-01-01 06:00:00+01:00,60834.5
2020-01-01 07:00:00+01:00,60677.0
2020-01-01 08:00:00+01:00,61068.0
2020-01-01 09:00:00+01:00,61960.0
2020-01-01 10:00:00+01:00,62678.0
2020-01-01 11:00:00+01:00,63587.5
2020-01-01 12:00:00+01:00,64661.5
2020-01-01 13:00:00+01:00,64238.5
2020-01-01 14:00:00+01:00,63640.0
2020-01-01 15:00:00+01:00,65146.5
2020-01-01 16:00:00+01:00,68223.0
2020-01-01 17:00:00+01:00,70394.0
2020-01-01 18:00:00+01:00,71801.5
2020-01-01 19:00:00+01:00,72544.0
2020-01-01 20:00:00+01:00,71952.5
2020-01-01 21:00:00+01:00,71274.0
2020-01-01 22:00:00+01:00,71063.0
2020-01-01 23:00:00+01:00,68416.0
2020-01-02 00:00:00+01:00,66001.0
2020-01-02 01:00:00+01:00,63607.5
2020-01-02 02:00:00+01:00,62398.0
2020-01-02 03:00:00+01:00,61739.5
2020-01-02 04:00:00+01:00,61847.5
2020-01-02 05:00:00+01:00,62550.5
2020-01-02 06:00:00+01:00,66880.0
2020-01-02 07:00:00+01:00,71153.5
2020-01-02 08:00:00+01:00,72588.0
2020-01-02 09:00:00+01:00,74475.0
2020-01-02 10:00:00+01:00,75711.5
2020-01-02 11:00:00+01:00,75829.0
2020-01-02 12:00:00+01:00,76196.5
2020-01-02 13:00:00+01:00,75868.0
2020-01-02 14:00:00+01:00,75149.5
2020-01-02 15:00:00+01:00,74850.5
2020-01-02 16:00:00+01:00,74888.0
2020-01-02 17:00:00+01:00,76744.5
2020-01-02 18:00:00+01:00,78102.5
2020-01-02 19:00:00+01:00,78025.0
2020-01-02 20:00:00+01:00,76369.5
2020-01-02 21:00:00+01:00,73837.5
2020-01-02 22:00:00+01:00,72693.0
2020-01-02 23:00:00+01:00,71522.5
2020-01-03 00:00:00+01:00,67831.0
2020-01-03 01:00:00+01:00,66155.0
2020-01-03 02:00:00+01:00,64733.0
2020-01-03 03:00:00+01:00,63026.0
2020-01-03 04:00:00+01:00,63047.0
2020-01-03 05:00:00+01:00,64173.5
2020-01-03 06:00:00+01:00,67429.5
2020-01-03 07:00:00+01:00,74242.0
2020-01-03 08:00:00+01:00,77023.5
2020-01-03 09:00:00+01:00,78325.0
2020-01-03 10:00:00+01:00,79118.0
2020-01-03 11:00:00+01:00,78872.0
2020-01-03 12:00:00+01:00,79038.5
2020-01-03 13:00:00+01:00,77978.5
2020-01-03 14:00:00+01:00,76992.0
2020-01-03 15:00:00+01:00,76085.5
2020-01-03 16:00:00+01:00,75951.0
2020-01-03 17:00:00+01:00,77798.5
2020-01-03 18:00:00+01:00,78823.5
2020-01-03 19:00:00+01:00,78597.0
2020-01-03 20:00:00+01:00,75884.5
2020-01-03 21:00:00+01:00,73410.5
2020-01-03 22:00:00+01:00,73036.5
2020-01-03 23:00:00+01:00,70887.5
2020-01-04 00:00:00+01:00,64730.5
2020-01-04 01:00:00+01:00,61837.0
2020-01-04 02:00:00+01:00,60472.0
2020-01-04 03:00:00+01:00,59374.5
2020-01-04 04:00:00+01:00,58843.5
2020-01-04 05:00:00+01:00,59594.0
2020-01-04 06:00:00+01:00,61463.0
2020-01-04 07:00:00+01:00,63613.0
2020-01-04 08:00:00+01:00,67560.5
2020-01-04 09:00:00+01:00,69920.0
2020-01-04 10:00:00+01:00,71877.0
2020-01-04 11:00:00+01:00,72377.5
2020-01-04 12:00:00+01:00,72406.0
2020-01-04 13:00:00+01:00,71443.5
2020-01-04 14:00:00+01:00,69726.5
2020-01-04 15:00:00+01:00,68802.5
2020-01-04 16:00:00+01:00,68921.0
2020-01-04 17:00:00+01:00,71276.5
2020-01-04 18:00:00+01:00,72519.0
2020-01-04 19:00:00+01:00,72662.0
2020-01-04 20:00:00+01:00,71482.5
2020-01-04 21:00:00+01:00,69524.0
2020-01-04 22:00:00+01:00,69677.5
2020-01-04 23:00:00+01:00,69433.0
2020-01-05 00:00:00+01:00,65749.0
2020-01-05 01:00:00+01:00,64083.5
2020-01-05 02:00:00+01:00,61685.5
2020-01-05 03:00:00+01:00,60501.5
2020-01-05 04:00:00+01:00,60104.0
2020-01-05 05:00:00+01:00,60409.5
2020-01-05 06:00:00+01:00,60876.0
2020-01-05 07:00:00+01:00,62022.0
2020-01-05 08:00:00+01:00,64374.0
2020-01-05 09:00:00+01:00,67627.0
2020-01-05 10:00:00+01:00,69488.5
2020-01-05 11:00:00+01:00,71054.5
2020-01-05 12:00:00+01:00,71506.5
2020-01-05 13:00:00+01:00,71455.5
2020-01-05 14:00:00+01:00,70749.5
2020-01-05 15:00:00+01:00,69887.5
2020-01-05 16:00:00+01:00,70552.5
2020-01-05 17:00:00+01:00,73365.0
2020-01-05 18:00:00+01:00,75363.5
2020-01-05 19:00:00+01:00,75898.5
2020-01-05 20:00:00+01:00,74025.5
2020-01-05 21:00:00+01:00,72333.5
2020-01-05 22:00:00+01:00,71404.0
2020-01-05 23:00:00+01:00,70361.0
2020-01-06 00:00:00+01:00,66015.0
2020-01-06 01:00:00+01:00,64013.5
2020-01-06 02:00:00+01:00,62175.5
2020-01-06 03:00:00+01:00,60802.0
2020-01-06 04:00:00+01:00,61141.5
2020-01-06 05:00:00+01:00,62617.5
2020-01-06 06:00:00+01:00,69138.5
2020-01-06 07:00:00+01:00,73950.5
2020-01-06 08:00:00+01:00,75880.5
2020-01-06 09:00:00+01:00,77197.0
2020-01-06 10:00:00+01:00,77864.0
2020-01-06 11:00:00+01:00,78372.5
2020-01-06 12:00:00+01:00,78244.5
2020-01-06 13:00:00+01:00,77602.0
2020-01-06 14:00:00+01:00,76479.0
2020-01-06 15:00:00+01:00,75741.0
2020-01-06 16:00:00+01:00,75864.0
2020-01-06 17:00:00+01:00,78887.5
2020-01-06 18:00:00+01:00,80724.0
2020-01-06 19:00:00+01:00,81026.0
2020-01-06 20:00:00+01:00,79689.0
2020-01-06 21:00:00+01:00,78051.5
2020-01-06 22:00:00+01:00,76998.5
2020-01-06 23:00:00+01:00,75517.0
2020-01-07 00:00:00+01:00,70291.0
2020-01-07 01:00:00+01:00,67479.5
2020-01-07 02:00:00+01:00,66308.5
2020-01-07 03:00:00+01:00,65253.0
2020-01-07 04:00:00+01:00,65119.5
2020-01-07 05:00:00+01:00,66911.0
2020-01-07 06:00:00+01:00,71864.0
2020-01-07 07:00:00+01:00,77378.0
2020-01-07 08:00:00+01:00,78944.0
2020-01-07 09:00:00+01:00,79652.5
2020-01-07 10:00:00+01:00,79786.5
2020-01-07 11:00:00+01:00,79605.0
2020-01-07 12:00:00+01:00,78516.0
2020-01-07 13:00:00+01:00,77979.5
