,Biomass,Energy storage,Energy storage,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Offshore,Wind Offshore,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
2020-01-01 00:00:00+01:00,347.0,,,6483.0,44.0,,195.0,,253.0,,6139.0,2637.0,,49003.0,0.0,217.0,,,3361.0,
2020-01-01 01:00:00+01:00,348.0,,,5576.0,44.0,,203.0,,374.0,,5920.0,2359.0,,49462.0,0.0,216.0,,,2810.0,
2020-01-01 02:00:00+01:00,347.0,,,4257.0,44.0,,203.0,,,95.0,5793.0,1765.0,,49565.0,0.0,216.0,,,2655.0,
2020-01-01 03:00:00+01:00,348.0,,,2874.0,44.0,,201.0,,,868.0,5559.0,1296.0,,49580.0,0.0,217.0,,,2736.0,
2020-01-01 04:00:00+01:00,348.0,,,2823.0,44.0,,200.0,,,2443.0,5400.0,960.0,,49271.0,0.0,217.0,,,2631.0,
2020-01-01 05:00:00+01:00,347.0,,,2834.0,44.0,,200.0,,,3349.0,5347.0,940.0,,49438.0,0.0,218.0,,,2533.0,
2020-01-01 06:00:00+01:00,348.0,,,2841.0,44.0,,200.0,,,3053.0,5224.0,986.0,,49542.0,0.0,217.0,,,2341.0,
2020-01-01 07:00:00+01:00,348.0,,,2994.0,42.0,,200.0,,,3326.0,5226.0,985.0,,49289.0,0.0,218.0,,,2185.0,
2020-01-01 08:00:00+01:00,349.0,,,3061.0,42.0,,200.0,,,3431.0,5345.0,935.0,,48860.0,175.0,217.0,,,1917.0,
2020-01-01 09:00:00+01:00,349.0,,,3345.0,42.0,,200.0,,,3355.0,5444.0,784.0,,48797.0,640.0,217.0,,,1694.0,
2020-01-01 10:00:00+01:00,349.0,,,3446.0,44.0,,203.0,,,3222.0,5446.0,1036.0,,48703.0,1464.0,216.0,,,1623.0,
