,price,Forecasted Load,Solar,Wind Offshore,Wind Onshore,Actual Aggregated
2020-01-01 00:00:00+01:00,41.88,67300.0,0.0,0.0,2966.13,70723.0
2020-01-01 01:00:00+01:00,38.6,65200.0,0.0,0.0,2992.79,69355.5
2020-01-01 02:00:00+01:00,36.55,64700.0,0.0,0.0,2857.19,66586.5
2020-01-01 03:00:00+01:00,32.32,61250.0,0.0,0.0,2720.88,64221.5
2020-01-01 04:00:00+01:00,30.85,58650.0,0.0,0.0,2584.39,61992.5
2020-01-01 05:00:00+01:00,30.14,57750.0,0.0,0.0,2343.45,61067.0
2020-01-01 06:00:00+01:00,30.17,57900.0,0.0,0.0,2102.75,60834.5
2020-01-01 07:00:00+01:00,30.0,58000.0,0.0,0.0,1861.79,60677.0
2020-01-01 08:00:00+01:00,30.65,57950.0,0.0,0.0,1718.33,61068.0
2020-01-01 09:00:00+01:00,30.65,58450.0,189.51,0.0,1575.21,61960.0
2020-01-01 10:00:00+01:00,30.27,60550.0,1079.2,0.0,1432.41,62678.0
2020-01-01 11:00:00+01:00,30.34,62200.0,2040.75,0.0,1393.7,63587.5
2020-01-01 12:00:00+01:00,30.99,64300.0,2653.06,0.0,1355.84,64661.5
2020-01-01 13:00:00+01:00,30.04,64800.0,2811.43,0.0,1318.47,64238.5
2020-01-01 14:00:00+01:00,30.75,61750.0,2475.01,0.0,1284.61,63640.0
2020-01-01 15:00:00+01:00,32.11,59300.0,1693.57,0.0,1250.71,65146.5
2020-01-01 16:00:00+01:00,35.98,58550.0,658.3,0.0,1217.4,68223.0
2020-01-01 17:00:00+01:00,40.4,60800.0,35.47,0.0,1294.32,70394.0
2020-01-01 18:00:00+01:00,44.05,64650.0,0.0,0.0,1371.74,71801.5
2020-01-01 19:00:00+01:00,46.16,66100.0,0.0,0.0,1449.15,72544.0
2020-01-01 20:00:00+01:00,44.02,64900.0,0.0,0.0,1510.92,71952.5
2020-01-01 21:00:00+01:00,40.68,62350.0,0.0,0.0,1572.94,71274.0
2020-01-01 22:00:00+01:00,40.66,60900.0,0.0,0.0,1635.34,71063.0
2020-01-01 23:00:00+01:00,36.69,63650.0,0.0,0.0,1690.36,68416.0
2020-01-02 00:00:00+01:00,35.4,62350.0,0.0,0.0,1638.86,66001.0
2020-01-02 01:00:00+01:00,31.98,59800.0,0.0,0.0,1658.25,63607.5
2020-01-02 02:00:00+01:00,30.5,59350.0,0.0,0.0,1732.87,62398.0
2020-01-02 03:00:00+01:00,28.79,56800.0,0.0,0.0,1807.89,61739.5
2020-01-02 04:00:00+01:00,28.42,55800.0,0.0,0.0,1883.17,61847.5
