created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
2025-09-23 16:27:59+02:00,0,FR,Planned maintenance,A03,Cancelled,2020-09-04 17:00:00+02:00,gMK9sOFnTCxzPZ_eMzr4eA,152.0,Hydro Pumped Storage,17W100P100P02764,FRANCE,SUPER BISSORTE,SUPER BISSORTE 2,1,MAW,PT1M,2,2018-09-03 07:00:00+02:00
2025-09-23 16:48:31+02:00,0,FR,Planned maintenance,A03,Cancelled,2020-09-04 17:00:00+02:00,PzpLB8m5ejhJjR8OqpHP1Q,152.0,Hydro Pumped Storage,17W100P100P02764,FRANCE,SUPER BISSORTE,SUPER BISSORTE 2,1,MAW,PT1M,2,2018-09-03 07:00:00+02:00
2025-09-23 17:13:20+02:00,0,FR,Planned maintenance,A03,Cancelled,2020-09-04 17:00:00+02:00,haK951Xv6fPYQaTrHbYtQA,152.0,Hydro Pumped Storage,17W100P100P02764,FRANCE,SUPER BISSORTE,SUPER BISSORTE 2,1,MAW,PT1M,2,2018-09-03 07:00:00+02:00
2025-09-23 17:17:44+02:00,0,FR,Planned maintenance,A03,Cancelled,2020-09-04 17:00:00+02:00,YqFVhq0plKEnZKg509G9-w,152.0,Hydro Pumped Storage,17W100P100P02764,FRANCE,SUPER BISSORTE,SUPER BISSORTE 2,1,MAW,PT1M,2,2018-09-03 07:00:00+02:00
2025-09-23 17:20:00+02:00,0,FR,Planned maintenance,A03,Cancelled,2020-09-04 17:00:00+02:00,2hig9T1ZVNmX4cnolinVng,152.0,Hydro Pumped Storage,17W100P100P02764,FRANCE,SUPER BISSORTE,SUPER BISSORTE 2,1,MAW,PT1M,2,2018-09-03 07:00:00+02:00
2025-09-23 17:21:18+02:00,0,FR,Planned maintenance,A03,Cancelled,2020-09-04 17:00:00+02:00,ngo_3K_SGvCrGUN-PXjoMw,152.0,Hydro Pumped Storage,17W100P100P02764,FRANCE,SUPER BISSORTE,SUPER BISSORTE 2,1,MAW,PT1M,2,2018-09-03 07:00:00+02:00
2025-09-23 17:25:56+02:00,0,FR,Planned maintenance,A03,Cancelled,2020-09-04 17:00:00+02:00,D6tuCfPGDeS9rV5RFdnCcQ,152.0,Hydro Pumped Storage,17W100P100P02764,FRANCE,SUPER BISSORTE,SUPER BISSORTE 2,1,MAW,PT1M,2,2018-09-03 07:00:00+02:00
2025-09-23 17:32:53+02:00,0,FR,Planned maintenance,A03,Cancelled,2020-09-04 17:00:00+02:00,6rknbqV75RL0F5-wDeAZdw,152.0,Hydro Pumped Storage,17W100P100P02764,FRANCE,SUPER BISSORTE,SUPER BISSORTE 2,1,MAW,PT1M,2,2018-09-03 07:00:00+02:00
2025-09-23 17:35:32+02:00,0,FR,Planned maintenance,A03,Cancelled,2020-09-04 17:00:00+02:00,12GsUkJRTzvoVs5OzwW5LQ,152.0,Hydro Pumped Storage,17W100P100P02764,FRANCE,SUPER BISSORTE,SUPER BISSORTE 2,1,MAW,PT1M,2,2018-09-03 07:00:00+02:00
2025-09-23 17:37:19+02:00,0,FR,Planned maintenance,A03,Cancelled,2020-09-04 17:00:00+02:00,EDFdt7bFdznRcJXrC_7C1w,152.0,Hydro Pumped Storage,17W100P100P02764,FRANCE,SUPER BISSORTE,SUPER BISSORTE 2,1,MAW,PT1M,2,2018-09-03 07:00:00+02:00
