,Solar,Wind Offshore,Wind Onshore
2020-01-01 00:00:00+01:00,0.0,,2966.13
2020-01-01 01:00:00+01:00,0.0,,2992.79
2020-01-01 02:00:00+01:00,0.0,,2857.19
2020-01-01 03:00:00+01:00,0.0,,2720.88
2020-01-01 04:00:00+01:00,0.0,,2584.39
2020-01-01 05:00:00+01:00,0.0,,2343.45
2020-01-01 06:00:00+01:00,0.0,,2102.75
2020-01-01 07:00:00+01:00,0.0,,1861.79
2020-01-01 08:00:00+01:00,0.0,,1718.33
2020-01-01 09:00:00+01:00,189.51,,1575.21
2020-01-01 10:00:00+01:00,1079.2,,1432.41
2020-01-01 11:00:00+01:00,2040.75,,1393.7
2020-01-01 12:00:00+01:00,2653.06,,1355.84
2020-01-01 13:00:00+01:00,2811.43,,1318.47
2020-01-01 14:00:00+01:00,2475.01,,1284.61
2020-01-01 15:00:00+01:00,1693.57,,1250.71
2020-01-01 16:00:00+01:00,658.3,,1217.4
2020-01-01 17:00:00+01:00,35.47,,1294.32
2020-01-01 18:00:00+01:00,0.0,,1371.74
2020-01-01 19:00:00+01:00,0.0,,1449.15
2020-01-01 20:00:00+01:00,0.0,,1510.92
2020-01-01 21:00:00+01:00,0.0,,1572.94
2020-01-01 22:00:00+01:00,0.0,,1635.34
2020-01-01 23:00:00+01:00,0.0,,1690.36
2020-01-02 00:00:00+01:00,0.0,,1638.86
2020-01-02 01:00:00+01:00,0.0,,1658.25
2020-01-02 02:00:00+01:00,0.0,,1732.87
2020-01-02 03:00:00+01:00,0.0,,1807.89
2020-01-02 04:00:00+01:00,0.0,,1883.17
2020-01-02 05:00:00+01:00,0.0,,1958.96
2020-01-02 06:00:00+01:00,0.0,,2034.58
2020-01-02 07:00:00+01:00,0.0,,2110.14
2020-01-02 08:00:00+01:00,0.0,,2284.48
2020-01-02 09:00:00+01:00,161.07,,2459.28
2020-01-02 10:00:00+01:00,922.38,,2634.01
2020-01-02 11:00:00+01:00,1900.35,,2856.66
2020-01-02 12:00:00+01:00,2461.76,,3079.43
2020-01-02 13:00:00+01:00,2671.53,,3302.17
2020-01-02 14:00:00+01:00,2454.03,,3582.2
2020-01-02 15:00:00+01:00,1710.22,,3861.79
2020-01-02 16:00:00+01:00,688.7,,4141.47
2020-01-02 17:00:00+01:00,42.75,,4497.29
2020-01-02 18:00:00+01:00,0.0,,4853.63
2020-01-02 19:00:00+01:00,0.0,,5209.67
2020-01-02 20:00:00+01:00,0.0,,5288.37
2020-01-02 21:00:00+01:00,0.0,,5367.32
2020-01-02 22:00:00+01:00,0.0,,5446.26
2020-01-02 23:00:00+01:00,0.0,,5490.06
2020-01-03 00:00:00+01:00,0.0,,6135.84
2020-01-03 01:00:00+01:00,0.0,,6259.9
2020-01-03 02:00:00+01:00,0.0,,6474.85
2020-01-03 03:00:00+01:00,0.0,,6687.6
2020-01-03 04:00:00+01:00,0.0,,6902.49
2020-01-03 05:00:00+01:00,0.0,,6901.58
2020-01-03 06:00:00+01:00,0.0,,6899.67
2020-01-03 07:00:00+01:00,0.0,,6896.63
2020-01-03 08:00:00+01:00,0.0,,6791.66
2020-01-03 09:00:00+01:00,146.47,,6688.85
2020-01-03 10:00:00+01:00,871.37,,6586.57
2020-01-03 11:00:00+01:00,1722.48,,6829.46
2020-01-03 12:00:00+01:00,2212.57,,7070.34
2020-01-03 13:00:00+01:00,2306.53,,7310.8
2020-01-03 14:00:00+01:00,1989.6,,6918.86
2020-01-03 15:00:00+01:00,1358.95,,6527.6
2020-01-03 16:00:00+01:00,556.88,,6138.42
2020-01-03 17:00:00+01:00,36.86,,5688.45
2020-01-03 18:00:00+01:00,0.0,,5238.51
2020-01-03 19:00:00+01:00,0.0,,4786.39
2020-01-03 20:00:00+01:00,0.0,,4451.54
2020-01-03 21:00:00+01:00,0.0,,4116.99
2020-01-03 22:00:00+01:00,0.0,,3781.39
2020-01-03 23:00:00+01:00,0.0,,3576.32
2020-01-04 00:00:00+01:00,0.0,,3430.21
2020-01-04 01:00:00+01:00,0.0,,3285.09
2020-01-04 02:00:00+01:00,0.0,,3184.97
2020-01-04 03:00:00+01:00,0.0,,3083.88
2020-01-04 04:00:00+01:00,0.0,,2982.35
2020-01-04 05:00:00+01:00,0.0,,2924.61
2020-01-04 06:00:00+01:00,0.0,,2866.04
2020-01-04 07:00:00+01:00,0.0,,2807.91
2020-01-04 08:00:00+01:00,0.0,,2874.12
2020-01-04 09:00:00+01:00,188.11,,2941.9
2020-01-04 10:00:00+01:00,1093.26,,3011.91
2020-01-04 11:00:00+01:00,2109.26,,3156.65
2020-01-04 12:00:00+01:00,2784.18,,3300.94
2020-01-04 13:00:00+01:00,3094.67,,3445.43
2020-01-04 14:00:00+01:00,2833.66,,3451.21
2020-01-04 15:00:00+01:00,2025.88,,3458.07
2020-01-04 16:00:00+01:00,841.75,,3466.65
2020-01-04 17:00:00+01:00,53.14,,3374.42
2020-01-04 18:00:00+01:00,0.0,,3282.91
2020-01-04 19:00:00+01:00,0.0,,3189.5
2020-01-04 20:00:00+01:00,0.0,,3128.6
2020-01-04 21:00:00+01:00,0.0,,3067.44
2020-01-04 22:00:00+01:00,0.0,,3006.17
2020-01-04 23:00:00+01:00,0.0,,2839.91
2020-01-05 00:00:00+01:00,0.0,,2204.06
2020-01-05 01:00:00+01:00,0.0,,1998.67
2020-01-05 02:00:00+01:00,0.0,,1926.99
2020-01-05 03:00:00+01:00,0.0,,1855.76
2020-01-05 04:00:00+01:00,0.0,,1785.09
2020-01-05 05:00:00+01:00,0.0,,1792.55
2020-01-05 06:00:00+01:00,0.0,,1801.58
2020-01-05 07:00:00+01:00,0.0,,1811.31
2020-01-05 08:00:00+01:00,0.0,,1785.37
2020-01-05 09:00:00+01:00,211.46,,1759.8
2020-01-05 10:00:00+01:00,1209.8,,1734.37
2020-01-05 11:00:00+01:00,2344.46,,1638.79
2020-01-05 12:00:00+01:00,3129.31,,1544.06
2020-01-05 13:00:00+01:00,3410.69,,1449.98
