area,month,day_of_week,weight
CH,1,0,65.14971629629629
CH,1,1,68.28658407407407
CH,1,2,67.51196740740741
CH,1,3,71.12691692307692
CH,1,4,64.70512884615384
CH,1,5,37.65992807692308
CH,1,6,26.10623740740741
CH,2,0,51.7927675
CH,2,1,51.6914275
CH,2,2,54.436620000000005
CH,2,3,54.5959448
CH,2,4,49.592286666666666
CH,2,5,27.962958399999998
CH,2,6,20.5813425
CH,3,0,48.62750730769231
CH,3,1,48.72442296296296
CH,3,2,49.99457592592593
CH,3,3,46.653378076923076
CH,3,4,43.42486259259259
CH,3,5,24.730048461538463
CH,3,6,18.63253333333333
CH,4,0,35.83664576923077
CH,4,1,39.42748538461539
CH,4,2,43.338318799999996
CH,4,3,39.99704846153846
CH,4,4,38.87150384615384
CH,4,5,23.480495769230767
CH,4,6,18.4535692
CH,5,0,45.400169999999996
CH,5,1,51.06283653846154
CH,5,2,48.73354777777778
CH,5,3,47.91122115384615
CH,5,4,46.785597037037036
CH,5,5,28.55383576923077
CH,5,6,23.645082592592594
CH,6,0,63.433204
CH,6,1,70.9426323076923
CH,6,2,71.57354615384615
CH,6,3,67.68331115384616
CH,6,4,65.35231
CH,6,5,43.360106153846154
CH,6,6,39.936152692307694
CH,7,0,72.36747185185185
CH,7,1,77.86501653846155
CH,7,2,83.57608148148148
CH,7,3,81.52274153846155
CH,7,4,75.13097851851852
CH,7,5,45.51300629629629
CH,7,6,38.50062346153846
CH,8,0,70.9798462962963
CH,8,1,71.41552555555556
CH,8,2,69.16752038461539
CH,8,3,73.93816592592593
CH,8,4,73.27771615384616
CH,8,5,50.74668111111111
CH,8,6,41.71048038461538
CH,9,0,62.09158884615385
CH,9,1,63.142645599999994
CH,9,2,58.78908038461539
CH,9,3,57.524365769230776
CH,9,4,53.49251230769231
CH,9,5,34.2519708
CH,9,6,30.376379230769228
CH,10,0,56.55738846153846
CH,10,1,54.61587259259259
CH,10,2,52.04484192307692
CH,10,3,54.973357407407406
CH,10,4,53.10377153846154
CH,10,5,32.23560851851852
CH,10,6,26.962369999999996
CH,11,0,59.78185961538462
CH,11,1,60.30684923076923
CH,11,2,63.07839192307692
CH,11,3,60.681762799999994
CH,11,4,57.117368846153845
CH,11,5,31.797516923076923
CH,11,6,26.5747924
CH,12,0,52.01462730769231
CH,12,1,55.963256296296294
CH,12,2,57.362288846153845
CH,12,3,55.374571851851854
CH,12,4,51.85395111111111
CH,12,5,27.92208576923077
CH,12,6,21.724928148148145
DE,1,0,8.521256246296296
DE,1,1,7.880265992592593
DE,1,2,1.570347568055556
DE,1,3,7.775042904326924
DE,1,4,5.581789470673077
DE,1,5,0.42606281231481485
DE,1,6,0.42606281231481485
DE,2,0,6.4426531078125
DE,2,1,3.4019568489583345
DE,2,2,3.3941731041666667
DE,2,3,3.7343557285
DE,2,4,0.9063652927083337
DE,2,5,0.322132655390625
DE,2,6,0.322132655390625
DE,3,0,8.987251685096153
DE,3,1,5.168613924537038
DE,3,2,7.185773166666667
DE,3,3,4.23034003125
DE,3,4,4.104236847685185
DE,3,5,0.4493625842548077
DE,3,6,0.4493625842548077
DE,4,0,0.7171428533653853
DE,4,1,3.7352487129807694
DE,4,2,4.081544003000001
DE,4,3,2.801064755288462
DE,4,4,4.563435476923077
DE,4,5,0.22817177384615386
DE,4,6,0.22817177384615386
DE,5,0,10.785920777314814
DE,5,1,9.169707540865385
DE,5,2,3.7362906856481484
DE,5,3,4.341891629326923
DE,5,4,8.672701219444445
DE,5,5,0.5392960388657407
DE,5,6,0.5392960388657407
DE,6,0,11.5923477895
DE,6,1,13.255367446634617
DE,6,2,13.28811745673077
DE,6,3,9.660144239423078
DE,6,4,13.37733557
DE,6,5,1.4486041889423082
DE,6,6,0.6688667785
DE,7,0,14.75382477962963
DE,7,1,12.018782427403846
DE,7,2,10.70716099212963
DE,7,3,11.726074846153846
DE,7,4,13.406957253703704
DE,7,5,0.7376912389814816
DE,7,6,0.7376912389814816
DE,8,0,12.434950009722222
DE,8,1,6.417816262500001
DE,8,2,9.726663558653847
DE,8,3,7.916217358796296
DE,8,4,11.093777121153845
DE,8,5,0.6217475004861112
DE,8,6,0.6217475004861112
DE,9,0,9.243172735096154
DE,9,1,4.9482672459999995
DE,9,2,4.847109520673078
DE,9,3,4.929424759615385
DE,9,4,3.5997078485576925
DE,9,5,0.46215863675480773
DE,9,6,0.46215863675480773
DE,10,0,10.226261988942309
DE,10,1,6.11488782824074
DE,10,2,0.9956828072115388
DE,10,3,5.967224035185186
DE,10,4,6.526329119711539
DE,10,5,0.5113130994471154
DE,10,6,0.5113130994471154
DE,11,0,9.187454598557693
DE,11,1,6.3530743730769235
DE,11,2,6.1801588663461535
DE,11,3,1.5255573425000002
DE,11,4,7.816050581250001
DE,11,5,0.4593727299278847
DE,11,6,0.4593727299278847
DE,12,0,1.9436731514423078
DE,12,1,3.6675686851851856
DE,12,2,3.6489945105769235
DE,12,3,3.7996647476851853
DE,12,4,3.229255679166667
DE,12,5,0.18998323738425926
DE,12,6,0.18998323738425926
ES,1,0,81.50878685185184
ES,1,1,88.22136925925926
ES,1,2,81.97039666666667
ES,1,3,85.60276326923076
ES,1,4,84.25816961538462
ES,1,5,58.81461519230769
ES,1,6,43.654840740740745
ES,2,0,59.461519583333335
ES,2,1,72.2902275
ES,2,2,80.95480020833334
ES,2,3,81.3150078
ES,2,4,80.88692229166666
ES,2,5,51.5509278
ES,2,6,34.558421875
ES,3,0,66.78935153846155
ES,3,1,70.00025481481481
ES,3,2,70.92734277777778
ES,3,3,63.20505461538461
ES,3,4,65.58868592592593
ES,3,5,54.531929999999996
ES,3,6,32.29290648148148
ES,4,0,56.15870365384615
ES,4,1,60.11349173076923
ES,4,2,59.6724442
ES,4,3,58.62219923076923
ES,4,4,56.84219788461538
ES,4,5,39.02105576923077
ES,4,6,26.573759199999998
ES,5,0,45.51671888888888
ES,5,1,48.16312946153846
ES,5,2,44.94614703703704
ES,5,3,45.00669153846154
ES,5,4,45.751607407407406
ES,5,5,29.96415153846154
ES,5,6,18.401157407407407
ES,6,0,43.510528400000005
ES,6,1,51.803203653846154
ES,6,2,48.37335576923077
ES,6,3,42.00361576923077
ES,6,4,42.0070878
ES,6,5,26.949049807692308
ES,6,6,12.251808846153846
ES,7,0,33.70764722222222
ES,7,1,39.93865269230769
ES,7,2,44.594948333333335
ES,7,3,43.973314615384616
ES,7,4,41.00025518518518
ES,7,5,22.910951851851852
ES,7,6,11.392914038461539
ES,8,0,33.46204481481482
ES,8,1,37.87364185185185
ES,8,2,34.769615384615385
ES,8,3,35.442067037037035
ES,8,4,36.146049423076924
ES,8,5,23.986537592592594
ES,8,6,10.923963076923076
ES,9,0,33.439510192307694
ES,9,1,35.1926014
ES,9,2,37.56909269230769
ES,9,3,36.36633769230769
ES,9,4,32.31849076923077
ES,9,5,21.2557372
ES,9,6,12.925207692307692
ES,10,0,38.04910653846154
ES,10,1,37.13692648148148
ES,10,2,32.01865192307692
ES,10,3,37.266849444444446
ES,10,4,37.29570807692308
ES,10,5,23.34732
ES,10,6,10.954840864197532
ES,11,0,54.939994423076925
ES,11,1,57.511596730769234
ES,11,2,55.241946089743585
ES,11,3,57.104178000000005
ES,11,4,58.00017057692308
ES,11,5,43.36582673076923
ES,11,6,31.8510676
ES,12,0,70.86450903846153
ES,12,1,84.63529900188263
ES,12,2,80.12530519230769
ES,12,3,79.11577314814815
ES,12,4,68.67097314814815
ES,12,5,61.96791211538462
ES,12,6,54.72719185185185
FR,1,0,77.76425592592594
FR,1,1,76.38907796296297
FR,1,2,73.09295740740741
FR,1,3,79.88462442307693
FR,1,4,73.30777923076923
FR,1,5,45.690036346153846
FR,1,6,25.56512648148148
FR,2,0,61.40568
FR,2,1,60.56262291666667
FR,2,2,66.58081395833334
FR,2,3,65.0176224
FR,2,4,58.281378125
FR,2,5,28.363267999999998
FR,2,6,8.221832083333334
FR,3,0,63.53896711538461
FR,3,1,68.13165425925926
FR,3,2,61.58382148148148
FR,3,3,55.56757673076923
FR,3,4,51.78495296296296
FR,3,5,29.643208461538464
FR,3,6,14.592598518518518
FR,4,0,34.021995
FR,4,1,40.965726730769234
FR,4,2,45.5327056
FR,4,3,45.14619807692308
FR,4,4,39.34231346153847
FR,4,5,21.889477884615385
FR,4,6,12.818223399999999
FR,5,0,43.853942777777775
FR,5,1,50.85486730769231
FR,5,2,43.82523611111111
FR,5,3,46.152030576923075
FR,5,4,44.653581111111116
FR,5,5,27.78542730769231
FR,5,6,12.07261925925926
FR,6,0,51.9945042
FR,6,1,58.08837596153846
FR,6,2,55.92531634615385
FR,6,3,55.1539526923077
FR,6,4,54.4202052
FR,6,5,33.58781788461538
FR,6,6,24.776611730769233
FR,7,0,44.28365
FR,7,1,43.875846153846155
FR,7,2,47.212547407407406
FR,7,3,48.914099615384615
FR,7,4,46.17149944444444
FR,7,5,25.656409814814815
FR,7,6,18.313710384615383
FR,8,0,32.47349314814815
FR,8,1,33.63151037037037
FR,8,2,33.02232865384615
FR,8,3,33.36326722222222
FR,8,4,31.43739230769231
FR,8,5,17.130485925925925
FR,8,6,7.009231346153846
FR,9,0,28.768358653846153
FR,9,1,33.1848072
FR,9,2,32.398687307692306
FR,9,3,27.861698653846155
FR,9,4,27.328561346153847
FR,9,5,12.038396800000001
FR,9,6,3.1173040384615387
FR,10,0,42.561899807692306
FR,10,1,41.64126481481481
FR,10,2,35.402708076923076
FR,10,3,41.33574703703704
FR,10,4,40.27034865384615
FR,10,5,11.124002962962962
FR,10,6,2.1280949903846156
FR,11,0,52.03159230769231
FR,11,1,53.6106275
FR,11,2,58.60592384615385
FR,11,3,62.0727226
FR,11,4,55.18490134615384
FR,11,5,27.804075961538462
FR,11,6,8.8951364
FR,12,0,59.22362783557692
FR,12,1,67.7003760162037
FR,12,2,69.16815535913462
FR,12,3,65.2786179675926
FR,12,4,60.93629491620371
FR,12,5,29.307618413942308
FR,12,6,15.16635885138889
IT,1,0,18.58657648148148
IT,1,1,18.935312222222223
IT,1,2,19.139944444444446
IT,1,3,19.584675961538462
IT,1,4,19.529095961538463
IT,1,5,13.786288653846155
IT,1,6,9.35442037037037
IT,2,0,14.588055625
IT,2,1,16.714895208333335
IT,2,2,18.240838958333335
IT,2,3,18.441404
IT,2,4,18.870719791666666
IT,2,5,12.74037
IT,2,6,4.771826666666667
IT,3,0,15.280796346153846
IT,3,1,14.401391666666667
IT,3,2,14.429936296296296
IT,3,3,15.331254423076924
IT,3,4,14.966806296296296
IT,3,5,8.989151730769231
IT,3,6,4.817535740740741
IT,4,0,14.313205384615383
IT,4,1,17.382206346153847
IT,4,2,17.1585456
IT,4,3,16.188125576923078
IT,4,4,17.288188653846156
IT,4,5,11.640231346153847
IT,4,6,4.3606704
IT,5,0,23.725071851851855
IT,5,1,23.47109692307692
IT,5,2,25.818638703703705
IT,5,3,25.7983075
IT,5,4,26.01531222222222
IT,5,5,18.266033461538463
IT,5,6,10.256890740740742
IT,6,0,34.9641756
IT,6,1,36.83654923076923
IT,6,2,35.307780192307696
IT,6,3,35.136826923076924
IT,6,4,36.352227
IT,6,5,26.207274807692308
IT,6,6,23.99690942307692
IT,7,0,38.02980296296296
IT,7,1,38.247953076923075
IT,7,2,38.81757611111111
IT,7,3,38.20231653846154
IT,7,4,36.76051462962963
IT,7,5,23.69872981481481
IT,7,6,18.859798846153843
IT,8,0,30.961049444444445
IT,8,1,30.49392037037037
IT,8,2,31.358259615384615
IT,8,3,30.526626481481483
IT,8,4,29.79461019230769
IT,8,5,22.809307592592592
IT,8,6,19.600196923076922
IT,9,0,25.678878653846155
IT,9,1,25.132481
IT,9,2,26.193490961538462
IT,9,3,25.354936153846154
IT,9,4,25.433182884615384
IT,9,5,15.926481800000001
IT,9,6,14.068059423076923
IT,10,0,21.22676653846154
IT,10,1,23.14601222222222
IT,10,2,20.930284615384615
IT,10,3,20.00759777777778
IT,10,4,22.201886153846154
IT,10,5,14.912939629629628
IT,10,6,11.262964074074075
IT,11,0,21.73428173076923
IT,11,1,21.737882499999998
IT,11,2,22.871789999999997
IT,11,3,21.9488756
IT,11,4,22.530913076923078
IT,11,5,17.06705923076923
IT,11,6,11.8211586
IT,12,0,19.86422384615385
IT,12,1,21.04415574074074
IT,12,2,21.54504096153846
IT,12,3,20.04565648148148
IT,12,4,17.777193148148147
IT,12,5,13.185030576923076
IT,12,6,11.323838888888888
